GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	2/5/2013	TP	0.5	A2	1	3	8
FF	505	ISO8	2/14/2013	TP	0.5	A2	1	3	13
FF	505	ISO8	2/18/2013	TP	0.5	A2	1	3	1
FF	505	ISO8	2/25/2013	TP	0.5	A2	1	3	4
FF	505	ISO8	3/4/2013	TP	0.5	A2	1	3	8
FF	505	ISO8	3/15/2013	TP	0.5	A2	1	3	87
FF	505	ISO8	3/27/2013	TP	0.5	A2	1	3	0
FF	505	ISO8	1/2/2013	TP	5	A2	1	3	1
FF	505	ISO8	1/7/2013	TP	5	A2	1	3	0
FF	505	ISO8	1/17/2013	TP	5	A2	1	3	7
FF	505	ISO8	1/22/2013	TP	5	A2	1	3	1
FF	505	ISO8	1/28/2013	TP	5	A2	1	3	0
FF	505	ISO8	2/5/2013	TP	5	A2	1	3	3
FF	505	ISO8	2/14/2013	TP	5	A2	1	3	2
FF	505	ISO8	2/18/2013	TP	5	A2	1	3	1
FF	505	ISO8	2/25/2013	TP	5	A2	1	3	1
FF	505	ISO8	3/4/2013	TP	5	A2	1	3	3
FF	505	ISO8	3/15/2013	TP	5	A2	1	3	20
FF	505	ISO8	3/27/2013	TP	5	A2	1	3	0
FF	505	ISO8	1/2/2013	TP	0.5	A3	1	1	34
FF	505	ISO8	1/7/2013	TP	0.5	A3	1	1	0
FF	505	ISO8	1/17/2013	TP	0.5	A3	1	1	16
FF	505	ISO8	1/22/2013	TP	0.5	A3	1	1	132
FF	505	ISO8	1/28/2013	TP	0.5	A3	1	1	3
FF	505	ISO8	2/5/2013	TP	0.5	A3	1	1	32
FF	505	ISO8	2/14/2013	TP	0.5	A3	1	1	9
FF	505	ISO8	2/18/2013	TP	0.5	A3	1	1	87
FF	505	ISO8	2/25/2013	TP	0.5	A3	1	1	0
FF	505	ISO8	3/4/2013	TP	0.5	A3	1	1	7
FF	505	ISO8	3/15/2013	TP	0.5	A3	1	1	434
FF	505	ISO8	3/27/2013	TP	0.5	A3	1	1	1
FF	505	ISO8	1/2/2013	TP	5	A3	1	1	5
FF	505	ISO8	1/7/2013	TP	5	A3	1	1	0
FF	505	ISO8	1/17/2013	TP	5	A3	1	1	0
FF	505	ISO8	1/22/2013	TP	5	A3	1	1	1
FF	505	ISO8	1/28/2013	TP	5	A3	1	1	0
FF	505	ISO8	2/5/2013	TP	5	A3	1	1	7
FF	505	ISO8	2/14/2013	TP	5	A3	1	1	2
FF	505	ISO8	2/18/2013	TP	5	A3	1	1	2
FF	505	ISO8	2/25/2013	TP	5	A3	1	1	0
FF	505	ISO8	3/4/2013	TP	5	A3	1	1	2
FF	505	ISO8	3/15/2013	TP	5	A3	1	1	19
FF	505	ISO8	3/27/2013	TP	5	A3	1	1	0
FF	505	ISO8	1/2/2013	TP	0.5	A3	1	2	18
FF	505	ISO8	1/7/2013	TP	0.5	A3	1	2	0
FF	505	ISO8	1/17/2013	TP	0.5	A3	1	2	13
FF	505	ISO8	1/22/2013	TP	0.5	A3	1	2	141
FF	505	ISO8	1/28/2013	TP	0.5	A3	1	2	3
FF	505	ISO8	2/5/2013	TP	0.5	A3	1	2	9
FF	505	ISO8	2/14/2013	TP	0.5	A3	1	2	11
FF	505	ISO8	2/18/2013	TP	0.5	A3	1	2	109
FF	505	ISO8	2/25/2013	TP	0.5	A3	1	2	0
FF	505	ISO8	3/4/2013	TP	0.5	A3	1	2	4
FF	505	ISO8	3/15/2013	TP	0.5	A3	1	2	439
FF	505	ISO8	3/27/2013	TP	0.5	A3	1	2	6
FF	505	ISO8	1/2/2013	TP	5	A3	1	2	2
FF	505	ISO8	1/7/2013	TP	5	A3	1	2	0
FF	505	ISO8	1/17/2013	TP	5	A3	1	2	0
FF	505	ISO8	1/22/2013	TP	5	A3	1	2	2
FF	505	ISO8	1/28/2013	TP	5	A3	1	2	0
FF	505	ISO8	2/5/2013	TP	5	A3	1	2	1
FF	505	ISO8	2/14/2013	TP	5	A3	1	2	1
FF	505	ISO8	2/18/2013	TP	5	A3	1	2	2
FF	505	ISO8	2/25/2013	TP	5	A3	1	2	0
FF	505	ISO8	3/4/2013	TP	5	A3	1	2	1
FF	505	ISO8	3/15/2013	TP	5	A3	1	2	17
FF	505	ISO8	3/27/2013	TP	5	A3	1	2	2
FF	505	ISO8	1/2/2013	TP	0.5	A3	1	3	25
FF	505	ISO8	1/7/2013	TP	0.5	A3	1	3	0
FF	505	ISO8	1/17/2013	TP	0.5	A3	1	3	48
FF	505	ISO8	1/22/2013	TP	0.5	A3	1	3	96
FF	505	ISO8	1/28/2013	TP	0.5	A3	1	3	2
FF	505	ISO8	2/5/2013	TP	0.5	A3	1	3	31
FF	505	ISO8	2/14/2013	TP	0.5	A3	1	3	4
FF	505	ISO8	2/18/2013	TP	0.5	A3	1	3	193
FF	505	ISO8	2/25/2013	TP	0.5	A3	1	3	0
FF	505	ISO8	3/4/2013	TP	0.5	A3	1	3	2
FF	505	ISO8	3/15/2013	TP	0.5	A3	1	3	392
FF	505	ISO8	3/27/2013	TP	0.5	A3	1	3	6
FF	505	ISO8	1/2/2013	TP	5	A3	1	3	2
FF	505	ISO8	1/7/2013	TP	5	A3	1	3	0
FF	505	ISO8	1/17/2013	TP	5	A3	1	3	1
FF	505	ISO8	1/22/2013	TP	5	A3	1	3	2
FF	505	ISO8	1/28/2013	TP	5	A3	1	3	0
FF	505	ISO8	2/5/2013	TP	5	A3	1	3	9
FF	505	ISO8	2/14/2013	TP	5	A3	1	3	2
FF	505	ISO8	2/18/2013	TP	5	A3	1	3	4
FF	505	ISO8	2/25/2013	TP	5	A3	1	3	0
FF	505	ISO8	3/4/2013	TP	5	A3	1	3	1
FF	505	ISO8	3/15/2013	TP	5	A3	1	3	4
FF	505	ISO8	3/27/2013	TP	5	A3	1	3	2
FF	505L1	ISO8	1/2/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	1/7/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	1/17/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	1/22/2013	TP	0.5	A1	1	1	1
FF	505L1	ISO8	1/28/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	2/5/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	2/14/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	2/18/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	2/25/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	3/4/2013	TP	0.5	A1	1	1	8
FF	505L1	ISO8	3/15/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	3/27/2013	TP	0.5	A1	1	1	0
FF	505L1	ISO8	1/2/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	1/7/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	1/17/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	1/22/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	1/28/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	2/5/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	2/14/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	2/18/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	2/25/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	3/4/2013	TP	5	A1	1	1	1
FF	505L1	ISO8	3/15/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	3/27/2013	TP	5	A1	1	1	0
FF	505L1	ISO8	1/2/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	1/7/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	1/17/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	1/22/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	1/28/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	2/5/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	2/14/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	2/18/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	2/25/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	3/4/2013	TP	0.5	A1	1	2	4
FF	505L1	ISO8	3/15/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	3/27/2013	TP	0.5	A1	1	2	0
FF	505L1	ISO8	1/2/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	1/7/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	1/17/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	1/22/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	1/28/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	2/5/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	2/14/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	2/18/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	2/25/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	3/4/2013	TP	5	A1	1	2	1
FF	505L1	ISO8	3/15/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	3/27/2013	TP	5	A1	1	2	0
FF	505L1	ISO8	1/2/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	1/7/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	1/17/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	1/22/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	1/28/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	2/5/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	2/14/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	2/18/2013	TP	0.5	A1	1	3	12
FF	505L1	ISO8	2/25/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	3/4/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	3/15/2013	TP	0.5	A1	1	3	0
FF	505L1	ISO8	3/27/2013	TP	0.5	A1	1	3	1
FF	505L1	ISO8	1/2/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	1/7/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	1/17/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	1/22/2013	TP	5	A1	1	3	0
