Rm Date	TYMC
161	39990	0
161	39990	0
161	39990	0
161	39990	0
161	39990	0
161	39990	0
162	39990	0
162	39990	0
162	39990	0
162	39990	0
162	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
163	39990	0
164	39990	0
164	39990	0
164	39990	0
164	39990	0
164	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
147B	39990	0
147B	39990	0
147B	39990	0
147B	39990	0
119	39993	0
119	39993	0
130	39993	0
138	39993	0
138	39993	0
138	39993	0
138	39993	0
139	39993	0
139	39993	0
139	39993	0
139	39993	0
140	39993	0
140	39993	0
140	39993	0
140	39993	0
150	39993	0
150	39993	0
150	39993	0
150	39993	0
151	39993	0
151	39993	0
151	39993	0
151	39993	0
160	39993	0
160	39993	0
160	39993	0
161	39993	0
161	39993	0
161	39993	0
161	39993	0
162	39993	3
162	39993	0
162	39993	0
162	39993	3
162	39993	0
162	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
163	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
164	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
165	39993	0
130	39994	0
130	39994	0
130	39994	0
132	39994	0
133	39994	0
136	39994	0
136	39994	0
136	39994	0
136	39994	0
137	39994	0
137	39994	0
162	39996	0
162	39996	0
162	39996	0
147B	39996	0
147B	39996	0
119	40000	0
119	40000	0
138	40000	0
138	40000	0
150	40000	0
150	40000	0
150	40000	0
150	40000	0
150	40000	0
150	40000	0
151	40000	0
151	40000	0
160	40000	0
160	40000	0
160	40000	0
161	40000	0
161	40000	0
161	40000	0
161	40000	0
162	40000	0
162	40000	0
162	40000	0
163	40000	0
163	40000	0
163	40000	0
163	40000	0
163	40000	0
163	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
164	40000	0
147B	40000	0
147B	40000	0
130	40001	0
132	40001	0
133	40001	0
136	40001	0
136	40001	0
136	40001	0
136	40001	0
153	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
164	40001	0
130	40003	0
152	40003	0
156	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
164	40003	0
141	40004	0
141	40004	0
130	40007	0
130	40007	0
141	40007	0
141	40007	0
152	40007	0
156	40007	0
130	40009	0
136	40009	0
136	40009	0
137	40009	0
137	40009	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
164	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
165	40010	0
164	40011	0
164	40011	0
164	40011	0
164	40011	0
164	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
165	40011	0
152	40014	0
156	40014	0
157	40014	0
165	40014	0
165	40014	0
165	40014	0
165	40014	0
165	40014	0
119	40016	0
119	40016	0
150	40016	0
150	40016	0
162	40016	0
162	40016	0
162	40016	0
163	40016	0
163	40016	0
163	40016	0
163	40016	0
163	40016	0
163	40016	0
164	40016	0
164	40016	0
164	40016	0
164	40016	0
164	40016	0
147B	40016	0
147B	40016	0
130	40017	0
136	40017	0
136	40017	0
137	40017	0
137	40017	0
160	40017	0
160	40017	0
160	40017	0
161	40017	0
161	40017	0
161	40017	0
161	40017	0
164	40018	0
164	40018	0
164	40018	0
164	40018	0
164	40018	0
130	40021	0
130	40021	0
141	40021	0
141	40021	0
152	40021	0
156	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
165	40021	0
130	40023	0
130	40023	0
136	40023	0
136	40023	0
137	40023	0
137	40023	0
160	40023	0
160	40023	0
160	40023	0
161	40023	0
161	40023	0
161	40023	0
161	40023	0
119	40024	1
119	40024	0
138	40024	0
138	40024	0
139	40024	0
139	40024	0
140	40024	0
140	40024	0
150	40024	0
150	40024	0
151	40024	0
151	40024	0
162	40024	0
162	40024	0
162	40024	0
163	40024	0
163	40024	0
163	40024	0
163	40024	0
163	40024	0
163	40024	0
164	40024	0
164	40024	0
164	40024	0
164	40024	0
164	40024	0
147B	40024	0
147B	40024	0
130	40025	0
136	40025	0
136	40025	0
137	40025	0
137	40025	0
160	40025	0
160	40025	0
160	40025	0
161	40025	0
161	40025	0
161	40025	0
161	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
165	40025	0
130	40029	0
141	40029	0
141	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
164	40029	0
119	40031	0
119	40031	0
138	40031	0
138	40031	0
139	40031	0
139	40031	0
140	40031	0
140	40031	0
150	40031	0
150	40031	0
151	40031	0
151	40031	0
162	40031	0
162	40031	0
162	40031	0
163	40031	0
163	40031	0
163	40031	0
163	40031	0
163	40031	0
163	40031	0
164	40031	0
164	40031	0
164	40031	0
164	40031	0
164	40031	1
164	40031	0
164	40031	0
164	40031	0
164	40031	0
164	40031	0
147B	40031	0
147B	40031	0
130	40032	0
136	40032	0
136	40032	0
137	40032	0
137	40032	0
160	40032	0
160	40032	0
160	40032	0
161	40032	0
161	40032	0
161	40032	0
161	40032	1
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
164	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
165	40032	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40035	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40037	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
164	40038	0
119	40042	0
119	40042	0
138	40042	0
138	40042	0
139	40042	0
139	40042	0
140	40042	0
140	40042	0
150	40042	1
150	40042	1
151	40042	0
151	40042	1
162	40042	0
162	40042	0
162	40042	0
163	40042	0
163	40042	0
163	40042	0
163	40042	0
163	40042	0
163	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	0
164	40042	1
164	40042	0
165	40042	0
165	40042	0
165	40042	0
165	40042	0
165	40042	0
147B	40042	0
147B	40042	0
130	40043	0
136	40043	0
136	40043	0
137	40043	3
137	40043	1
160	40043	0
160	40043	0
160	40043	0
161	40043	0
161	40043	0
161	40043	0
161	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
164	40043	0
130	40045	0
141	40045	0
141	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
164	40045	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
165	40046	0
119	40050	0
119	40050	0
138	40050	0
138	40050	0
139	40050	0
139	40050	0
140	40050	0
140	40050	0
150	40050	0
150	40050	0
151	40050	0
151	40050	0
162	40050	0
162	40050	0
162	40050	0
163	40050	0
163	40050	0
163	40050	0
163	40050	0
163	40050	0
163	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
164	40050	0
165	40050	0
165	40050	0
165	40050	0
165	40050	0
165	40050	0
147B	40050	0
