Rm	Date	part_5
146	39990	216
146	39990	49
147	39990	153
147	39990	59
147	39990	0
147	39990	0
147	39990	117
147	39990	35
147	39990	0
147	39990	1
146	39993	58
146	39993	18
146	39993	160
146	39993	101
146	39993	37
146	39993	9
146	39993	14
146	39993	34
146	39993	1
146	39993	58
146	39993	47
146	39993	16
147	39993	54
147	39993	68
147	39993	12
147	39993	13
133	39994	0
146	39994	485
146	39994	398
146	39994	93
146	39994	80
146	39994	25
146	39994	22
129	39995	0
133	39995	0
135	39995	1
142	39995	3
142	39995	8
143	39995	78
144	39995	102
144	39995	169
144	39995	68
147	39995	58
147	39995	14
153	39995	1
156	39995	1
158	39995	3
129	39996	0
142	39996	16
142	39996	0
143	39996	6
144	39996	54
144	39996	72
144	39996	17
156	39996	4
158	39996	18
147	40000	165
147	40000	125
147	40000	53
147	40000	27
129	40001	0
133	40001	0
146	40001	289
146	40001	201
146	40001	14
146	40001	59
146	40001	114
146	40001	1
153	40001	12
133	40002	0
142	40002	0
142	40002	0
143	40002	15
144	40002	8
144	40002	26
144	40002	10
153	40002	0
158	40002	40
146	40003	92
146	40003	39
146	40003	9
146	40003	77
146	40003	144
146	40003	8
156	40003	0
158	40003	97
129	40004	0
133	40004	0
135	40004	0
142	40004	8
142	40004	11
143	40004	276
144	40004	81
144	40004	130
144	40004	89
147	40004	40
147	40004	34
156	40004	2
129	40007	0
135	40007	0
147	40007	44
147	40007	63
147	40007	83
147	40007	52
156	40007	0
142	40008	30
142	40008	24
142	40008	25
142	40008	22
129	40009	0
133	40009	0
153	40009	1
143	40010	135
146	40010	248
146	40010	111
146	40010	72
158	40010	98
135	40011	0
156	40011	0
158	40011	18
142	40012	47
142	40012	18
143	40012	117
144	40012	100
144	40012	234
144	40012	72
146	40012	107
146	40012	101
146	40012	7
135	40014	0
156	40014	0
129	40016	3
142	40016	38
142	40016	55
142	40016	14
142	40016	46
133	40017	0
153	40017	0
133	40018	0
142	40018	12
142	40018	43
143	40018	39
144	40018	32
144	40018	6
144	40018	483
146	40018	23
146	40018	2
146	40018	8
147	40018	21
147	40018	32
153	40018	2
158	40018	6
144	40019	9
144	40019	45
144	40019	49
146	40019	25
146	40019	0
146	40019	1
147	40019	58
147	40019	55
129	40021	0
135	40021	0
147	40021	41
147	40021	28
147	40021	84
147	40021	51
156	40021	3
135	40022	0
142	40022	19
142	40022	34
142	40022	23
142	40022	67
143	40022	68
144	40022	184
144	40022	334
144	40022	232
146	40022	271
146	40022	159
146	40022	3
156	40022	0
158	40022	187
133	40023	0
153	40023	0
129	40024	0
142	40024	98
142	40024	115
142	40024	14
142	40024	54
143	40024	73
144	40024	151
144	40024	1001
144	40024	663
147	40024	168
147	40024	152
147	40024	270
147	40024	157
133	40025	0
153	40025	0
133	40028	0
142	40028	20
142	40028	38
143	40028	271
144	40028	144
144	40028	226
144	40028	95
153	40028	0
158	40028	28
129	40029	0
135	40029	0
146	40029	310
146	40029	91
146	40029	15
147	40029	198
147	40029	153
147	40029	157
147	40029	189
156	40029	4
135	40030	0
142	40030	11
142	40030	74
143	40030	111
144	40030	123
144	40030	885
144	40030	879
146	40030	90
146	40030	7
146	40030	2
146	40030	79
146	40030	45
146	40030	1
156	40030	2
158	40030	6
129	40031	0
133	40032	0
153	40032	0
142	40035	6
142	40035	6
143	40035	593
144	40035	111
144	40035	98
144	40035	56
146	40035	50
146	40035	52
146	40035	13
146	40035	53
146	40035	32
146	40035	17
142	40037	0
142	40037	2
143	40037	9
144	40037	9
144	40037	34
144	40037	7
146	40037	7
146	40037	10
146	40037	3
146	40037	12
146	40037	15
146	40037	2
135	40038	0
146	40038	112
146	40038	128
146	40038	10
146	40038	134
146	40038	33
146	40038	19
156	40038	0
158	40038	139
147	40039	133
147	40039	75
147	40039	60
147	40039	32
147	40039	2
147	40039	1
156	40039	1
129	40042	0
146	40042	56
146	40042	25
146	40042	10
146	40042	51
146	40042	1
146	40042	1
133	40043	0
146	40043	14
146	40043	4
146	40043	13
146	40043	15
146	40043	13
146	40043	2
153	40043	0
133	40044	0
142	40044	0
142	40044	1
143	40044	30
144	40044	23
144	40044	28
144	40044	33
146	40044	67
146	40044	76
146	40044	119
146	40044	10
146	40044	4
146	40044	7
153	40044	0
158	40044	12
129	40045	0
135	40045	0
147	40045	120
147	40045	32
147	40045	59
147	40045	9
156	40045	0
135	40046	0
142	40046	5
142	40046	6
143	40046	120
144	40046	42
144	40046	57
144	40046	14
156	40046	3
158	40046	8
135	40049	0
147	40049	147
147	40049	58
147	40049	68
147	40049	45
156	40049	0
158	40049	11
129	40050	0
146	40050	199
146	40050	123
146	40050	5
146	40050	101
146	40050	146
146	40050	10
133	40051	6
142	40051	32
142	40051	17
144	40051	9
144	40051	55
144	40051	13
146	40051	93
146	40051	49
146	40051	13
146	40051	66
146	40051	27
146	40051	6
153	40051	2
133	40052	1
142	40052	15
142	40052	10
142	40052	8
142	40052	8
143	40052	321
144	40052	86
144	40052	42
144	40052	162
153	40052	0
158	40052	15
135	40053	0
143	40053	15
156	40053	1
135	40056	0
142	40056	0
142	40056	5
143	40056	89
144	40056	24
144	40056	131
144	40056	178
146	40056	95
146	40056	39
146	40056	23
146	40056	100
146	40056	3
146	40056	0
156	40056	2
158	40056	69
135	40057	0
142	40057	12
142	40057	30
142	40057	2
144	40057	346
144	40057	380
144	40057	480
146	40057	1
147	40057	1
147	40057	82
147	40057	14
147	40057	166
147	40057	167
156	40057	0
129	40058	0
133	40058	5
146	40058	9
146	40058	3
146	40058	1
146	40058	10
146	40058	1
146	40058	7
158	40058	41
133	40059	0
146	40059	51
146	40059	21
146	40059	53
146	40059	21
146	40059	17
146	40059	1
153	40059	0
129	40060	0
143	40060	15
146	40060	42
146	40060	14
146	40060	7
146	40060	81
146	40060	34
146	40060	1
147	40060	70
147	40060	50
147	40060	62
147	40060	43
153	40060	3
135	40064	0
146	40064	42
146	40064	33
146	40064	22
146	40064	9
146	40064	2
146	40064	3
147	40064	23
147	40064	14
147	40064	22
147	40064	7
156	40064	0
129	40065	0
135	40065	0
142	40065	79
142	40065	46
142	40065	12
142	40065	7
143	40065	72
144	40065	311
144	40065	380
144	40065	209
146	40065	262
146	40065	213
146	40065	23
146	40065	209
146	40065	245
146	40065	25
156	40065	0
158	40065	16
133	40066	0
146	40066	128
146	40066	58
146	40066	130
146	40066	30
146	40066	11
146	40066	0
147	40066	11
147	40066	3
147	40066	6
147	40066	2
158	40066	2
129	40067	0
133	40067	0
142	40067	0
142	40067	1
143	40067	25
144	40067	75
144	40067	39
144	40067	13
147	40067	132
147	40067	34
147	40067	95
147	40067	98
147	40068	59
147	40068	36
147	40068	72
147	40068	31
129	40070	0
142	40070	13
142	40070	22
143	40070	25
144	40070	35
144	40070	42
144	40070	24
146	40070	8
146	40070	13
146	40070	6
146	40070	4
146	40070	4
146	40070	4
153	40070	0
135	40071	0
143	40071	231
144	40071	397
144	40071	1005
144	40071	343
147	40071	213
147	40071	63
147	40071	67
147	40071	61
156	40071	1
135	40072	0
146	40072	17
146	40072	19
146	40072	2
146	40072	11
146	40072	14
146	40072	4
147	40072	110
147	40072	80
147	40072	113
147	40072	50
156	40072	0
158	40072	16
129	40073	0
133	40073	0
146	40073	89
146	40073	54
146	40073	14
146	40073	123
146	40073	69
146	40073	4
147	40073	113
147	40073	56
147	40073	1
147	40073	1
158	40073	78
133	40074	0
146	40074	130
146	40074	82
146	40074	55
146	40074	243
146	40074	81
146	40074	51
153	40074	0
133	40077	0
146	40077	60
146	40077	80
146	40077	54
146	40077	91
146	40077	53
146	40077	14
153	40077	0
153	40077	0
156	40077	0
129	40078	0
142	40078	18
142	40078	19
142	40078	49
142	40078	49
143	40078	72
144	40078	150
144	40078	286
144	40078	1737
147	40078	277
147	40078	89
153	40078	0
135	40079	0
142	40079	2
142	40079	2
143	40079	150
144	40079	142
144	40079	1
144	40079	190
147	40079	9
147	40079	11
147	40079	50
147	40079	8
153	40079	0
135	40080	0
146	40080	825
146	40080	475
146	40080	116
146	40080	115
146	40080	127
146	40080	0
156	40080	2
158	40080	143
146	40081	82
146	40081	90
146	40081	15
146	40081	103
146	40081	30
146	40081	1
129	40084	0
133	40084	0
146	40084	193
146	40084	75
146	40084	10
146	40084	69
146	40084	32
146	40084	15
158	40084	21
146	40085	605
146	40085	206
146	40085	21
146	40085	111
146	40085	23
146	40085	133
129	40086	0
142	40086	2
142	40086	9
142	40086	7
142	40086	10
147	40086	80
147	40086	58
147	40086	6
147	40086	0
153	40086	0
135	40087	0
142	40087	5
142	40087	2
143	40087	2
144	40087	19
144	40087	7
144	40087	23
147	40087	88
147	40087	21
147	40087	81
147	40087	36
153	40087	2
133	40088	0
135	40088	0
143	40088	69
144	40088	24
144	40088	19
144	40088	3
158	40088	5
156	40089	1
135	40091	0
147	40091	20
147	40091	53
147	40091	18
147	40091	37
156	40091	0
158	40091	19
129	40092	0
133	40092	0
158	40092	6
133	40093	0
147	40093	77
147	40093	28
147	40093	117
147	40093	39
156	40093	0
129	40094	0
142	40094	1
142	40094	4
143	40094	17
144	40094	44
144	40094	259
144	40094	87
146	40094	38
146	40094	13
146	40094	4
147	40094	39
147	40094	49
147	40094	12
147	40094	3
153	40094	0
135	40095	0
142	40095	1
142	40095	0
142	40095	1
143	40095	113
144	40095	225
144	40095	38
144	40095	270
146	40095	41
146	40095	33
146	40095	38
147	40095	152
147	40095	85
147	40095	2
147	40095	1
153	40095	0
135	40098	0
153	40098	0
135	40099	0
147	40099	32
147	40099	40
147	40099	84
147	40099	86
156	40099	2
158	40099	166
129	40100	0
133	40100	0
142	40100	78
142	40100	10
143	40100	67
144	40100	577
144	40100	1449
144	40100	917
146	40100	615
146	40100	206
146	40100	109
158	40100	47
133	40101	0
147	40101	277
147	40101	63
147	40101	103
147	40101	64
156	40101	0
129	40102	0
142	40102	1
143	40102	18
144	40102	27
144	40102	58
144	40102	105
146	40102	5
146	40102	6
146	40102	0
153	40102	0
129	40105	0
153	40105	0
135	40106	0
142	40106	1
142	40106	6
143	40106	213
144	40106	206
144	40106	587
144	40106	332
146	40106	255
146	40106	231
146	40106	18
146	40106	150
146	40106	93
146	40106	6
153	40106	0
135	40107	0
143	40107	323
144	40107	60
144	40107	160
144	40107	42
146	40107	41
146	40107	42
146	40107	47
146	40107	117
146	40107	66
146	40107	38
156	40107	0
158	40107	6
133	40108	0
147	40108	5
147	40108	7
147	40108	19
147	40108	18
156	40108	0
158	40108	24
127	40109	0
129	40109	0
133	40109	0
127	40112	0
133	40112	0
147	40112	63
147	40112	20
147	40112	102
147	40112	64
156	40112	1
129	40113	0
142	40113	1
142	40113	0
143	40113	5
144	40113	33
144	40113	25
144	40113	20
146	40113	36
146	40113	17
146	40113	8
146	40113	13
146	40113	8
146	40113	37
153	40113	0
135	40114	0
142	40114	7
142	40114	0
142	40114	26
142	40114	12
156	40114	0
143	40115	99
144	40115	157
144	40115	294
144	40115	103
146	40115	39
146	40115	48
146	40115	20
147	40115	27
147	40115	38
147	40115	94
147	40115	131
129	40116	1
133	40116	0
158	40116	91
133	40119	0
158	40119	36
129	40120	0
131	40120	14
147	40120	92
147	40120	48
147	40120	122
147	40120	137
153	40120	0
147	40121	31
147	40121	24
147	40121	61
147	40121	99
156	40121	0
133	40122	0
135	40122	0
142	40122	0
142	40122	2
143	40122	25
144	40122	1
144	40122	12
144	40122	16
146	40122	14
146	40122	4
146	40122	9
147	40122	21
147	40122	17
147	40122	45
147	40122	56
156	40122	0
129	40123	2
135	40123	0
142	40123	0
142	40123	1
143	40123	12
144	40123	12
144	40123	30
144	40123	7
146	40123	6
146	40123	0
146	40123	0
153	40123	1
158	40123	14
129	40126	0
158	40126	7
133	40127	0
143	40127	310
144	40127	327
144	40127	920
144	40127	271
146	40127	600
146	40127	312
146	40127	37
147	40127	291
147	40127	177
158	40127	291
143	40128	4
144	40128	483
144	40128	437
144	40128	54
146	40128	16
146	40128	3
146	40128	2
147	40128	4
147	40128	0
156	40128	7
127	40129	0
133	40129	0
153	40129	0
129	40130	1
135	40130	0
147	40130	11
147	40130	12
156	40130	0
133	40133	0
135	40133	0
156	40133	4
129	40134	0
131	40134	0
135	40134	0
142	40134	18
142	40134	32
143	40134	97
144	40134	115
144	40134	289
144	40134	181
158	40134	0
131	40135	6
133	40135	2
142	40135	11
142	40135	5
143	40135	31
144	40135	60
144	40135	129
144	40135	46
146	40135	103
146	40135	21
146	40135	7
146	40135	245
146	40135	183
146	40135	18
147	40135	47
147	40135	22
153	40135	0
158	40135	4
127	40136	0
146	40136	2
146	40136	3
146	40136	1
146	40136	70
146	40136	39
146	40136	17
147	40136	120
147	40136	62
147	40136	82
147	40136	51
156	40136	6
129	40137	2
146	40137	85
146	40137	41
146	40137	76
146	40137	4
146	40137	0
146	40137	0
147	40137	23
147	40137	26
147	40137	34
147	40137	23
153	40137	0
142	40140	21
142	40140	75
142	40140	54
142	40140	28
143	40140	2
