Rm	Date	Read1	Read2	Read3	MEAN
147A	39990	55	49	7	37
147A	39990	35	26	8	23
165T	39990	0	0	0	0
165T	39990	1	0	0	0
131	39993	16	356	57	143
131	39993	46	73	34	51
131	39993	75	70	40	62
147A	39993	24	11	3	13
147A	39993	12	91	26	43
147A	39993	15	7	5	9
147A	39993	252	118	66	145
164T	39993	0	0	0	0
164T	39993	0	0	0	0
126	39994	174	208	115	166
126	39994	750	362	243	452
126	39994	163	142	107	137
127	39994	38	727	119	295
127	39994	24	23	11	19
127	39994	19	16	356	130
127	39994	58	18	17	31
127	39994	46	50	72	56
127	39994	101	92	98	97
127	39994	12	11	41	21
127	39994	15	9	7	10
127	39994	77	54	52	61
131	39994	18	2	5	8
131	39994	26	22	27	25
131	39994	30	12	4	15
131	39994	148	59	22	76
131	39994	13	56	38	36
131	39994	4	1	0	2
132	39994	571	484	290	448
132	39994	30	26	27	28
133	39994	11	10	6	9
133	39994	20	13	8	14
133	39994	4	10	1	5
126	39995	182	119	84	128
127	39995	68	5	5	26
127	39995	145	51	14	70
127	39995	0	4	0	1
128	39995	68	76	22	55
129	39995	111	199	112	141
129	39995	45	64	40	50
129	39995	17	43	37	32
132	39995	131	495	394	340
133	39995	36	58	40	45
133	39995	166	103	85	118
133	39995	59	45	48	51
134	39995	67	36	13	39
135	39995	27	10	34	24
135	39995	7	5	5	6
135	39995	4	10	4	6
143	39995	50	20	22	31
145	39995	356	120	40	172
152	39995	201	138	315	218
153	39995	36	58	40	45
153	39995	895	834	908	879
153	39995	59	45	48	51
154	39995	179	89	59	109
156	39995	0	14	2	5
156	39995	6	1	6	4
157	39995	103	18	7	43
159	39995	0	2	0	1
159	39995	8	22	21	17
128	39996	135	82	33	83
129	39996	45	24	15	28
129	39996	307	127	53	162
129	39996	55	22	20	32
143	39996	135	5	2	47
145	39996	33	25	4	21
152	39996	200	44	35	93
156	39996	6	8	0	5
156	39996	0	0	0	0
157	39996	96	51	21	56
159	39996	1	0	0	0
159	39996	5	1	1	2
147A	40000	79	108	116	101
147A	40000	67	26	26	40
164T	40000	0	0	0	0
164T	40000	0	0	0	0
128	40001	330	397	256	328
129	40001	4	8	16	9
129	40001	2	5	5	4
129	40001	13	8	1	7
131	40001	215	44	32	97
131	40001	127	670	378	392
131	40001	32	30	45	36
132	40001	13	39	14	22
133	40001	95	146	218	153
133	40001	87	34	37	53
133	40001	200	199	341	247
153	40001	156	129	223	169
153	40001	215	151	96	154
153	40001	132	112	78	107
154	40001	54	28	31	38
147A	40001	164	95	32	97
147A	40001	487	193	97	259
164T	40001	0	0	0	0
164T	40001	0	1	6	2
126	40002	212	347	240	266
127	40002	3	1	0	1
127	40002	5	6	2	4
127	40002	21	49	9	26
132	40002	130	311	185	209
133	40002	45	7	107	53
133	40002	19	13	39	24
133	40002	54	10	64	43
143	40002	1	0	0	0
145	40002	73	30	13	39
153	40002	968	787	705	820
153	40002	1406	1294	1119	1273
153	40002	1189	2893	2822	2301
154	40002	1262	868	856	995
157	40002	70	19	5	31
159	40002	9	2	5	5
159	40002	11	0	6	6
126	40003	63	33	60	52
127	40003	81	13	17	37
127	40003	24	7	20	17
127	40003	12	8	2	7
131	40003	182	75	51	103
131	40003	173	12	23	69
131	40003	164	97	28	96
145	40003	78	27	18	41
152	40003	434	704	1156	765
156	40003	41	24	38	34
156	40003	132	56	38	75
157	40003	7	6	4	6
159	40003	5	1	0	2
159	40003	1	1	0	1
164	40003	0	0	0	0
164	40003	0	0	0	0
147A	40003	46	23	15	28
147A	40003	17	10	5	11
128	40004	69	31	57	52
129	40004	178	56	30	88
129	40004	32	5	1751	596
129	40004	127	58	26	70
132	40004	76	30	171	92
133	40004	31	7	3	14
133	40004	46	35	23	35
133	40004	27	35	13	25
134	40004	22	38	141	67
135	40004	32	47	194	91
135	40004	30	20	12	21
135	40004	13	17	28	19
143	40004	6	0	1	2
145	40004	152	100	15	89
152	40004	146	33	43	74
156	40004	150	31	343	175
156	40004	14	4	1	6
128	40007	81	69	28	59
129	40007	14	4	64	27
129	40007	10	1	2	4
129	40007	0	0	3	1
131	40007	17	22	16	18
131	40007	15	47	4	22
131	40007	13	11	2	9
131	40007	250	80	80	137
131	40007	119	97	206	141
131	40007	93	89	119	100
134	40007	47	21	19	29
135	40007	21	20	33	25
135	40007	7	15	8	10
135	40007	12	4	4	7
152	40007	37	23	5	22
156	40007	79	34	1	38
156	40007	66	0	0	22
128	40009	286	96	113	165
129	40009	174	464	69	236
129	40009	25	19	5	16
129	40009	18	62	33	38
131	40009	352	117	35	168
131	40009	76	14	6	32
131	40009	5	1	43	16
132	40009	36	34	15	28
133	40009	20	8	7	12
133	40009	42	19	17	26
133	40009	60	7	16	28
153	40009	43	350	216	203
153	40009	42	64	58	55
153	40009	56	35	17	36
154	40009	144	65	19	76
143	40010	227	53	12	97
157	40010	40	15	12	22
159	40010	31	5	2	13
159	40010	16	3	15	11
164	40010	0	0	0	0
164T	40010	1	0	1	1
126	40011	2052	1252	738	1347
127	40011	1240	1484	604	1109
127	40011	71	92	53	72
127	40011	17	16	12	15
134	40011	237	135	91	154
135	40011	65	54	25	48
135	40011	99	101	68	89
135	40011	58	73	30	54
152	40011	138	61	120	106
156	40011	39	41	21	34
156	40011	1	10	64	25
157	40011	241	193	170	201
159	40011	4	6	41	17
159	40011	7	1	0	3
147A	40011	141	299	219	220
164T	40011	0	0	0	0
143	40012	404	580	106	363
126	40014	40	33	92	55
127	40014	101	105	100	102
127	40014	14	2	1	6
127	40014	4	3	1	3
134	40014	120	66	27	71
135	40014	58	75	85	73
135	40014	29	22	13	21
135	40014	32	35	27	31
152	40014	24	25	17	22
156	40014	5	19	36	20
156	40014	0	0	0	0
157	40014	8	12	1	7
159	40014	3	0	0	1
159	40014	2	0	0	1
165	40014	0	0	0	0
128	40016	137	108	78	108
129	40016	75	19	39	44
129	40016	168	119	153	147
129	40016	183	115	66	121
164	40016	0	0	0	0
131	40017	81	29	8	39
131	40017	54	13	138	68
131	40017	27	34	52	38
132	40017	112	92	49	84
133	40017	7	4	4	5
133	40017	32	66	32	43
133	40017	372	139	59	190
153	40017	373	991	622	662
153	40017	60	41	31	44
153	40017	83	29	17	43
154	40017	399	123	70	197
132	40018	62	139	122	108
133	40018	13	44	23	27
133	40018	18	10	4	11
133	40018	9	9	19	12
143	40018	485	136	49	223
153	40018	45	32	963	347
153	40018	38	129	53	73
153	40018	39	8	9	19
154	40018	396	93	144	211
157	40018	732	238	292	421
159	40018	26	63	93	61
159	40018	24	121	84	76
164	40018	90	32	43	55
147A	40018	93	34	19	49
145	40019	63	10	2	25
128	40021	26	28	4	19
