Rm Date	TAMC
133	39954	0
153	39954	0
153	39954	0
153	39954	1
154	39954	0
157	39954	1
157	39954	0
157	39954	3
159	39954	0
159	39954	1
159	39954	0
159	39954	0
159	39954	0
159	39954	0
159	39954	1
159	39954	1
164	39954	0
164	39954	0
164	39954	0
164	39954	0
164	39954	0
164	39954	0
164	39954	1
164	39954	4
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
147A	39954	0
126	39955	2
127	39955	0
127	39955	0
127	39955	0
134	39955	0
135	39955	0
135	39955	0
135	39955	0
135	39955	1
143	39955	0
152	39955	0
153	39955	0
153	39955	0
153	39955	0
154	39955	2
156	39955	0
156	39955	1
157	39955	0
157	39955	0
157	39955	0
159	39955	0
159	39955	0
159	39955	0
159	39955	1
159	39955	0
159	39955	0
159	39955	0
159	39955	0
147A	39955	0
147A	39955	0
147A	39955	0
147A	39955	0
147A	39955	1
127	39959	0
127	39959	0
127	39959	0
128	39959	0
128	39959	0
129	39959	0
129	39959	0
129	39959	0
129	39959	0
129	39959	0
129	39959	0
129	39959	0
129	39959	0
131	39959	0
131	39959	0
131	39959	0
134	39959	0
135	39959	0
135	39959	0
135	39959	0
135	39959	0
164	39959	0
164	39959	0
164	39959	0
147A	39959	0
147A	39959	0
147A	39959	0
147A	39959	0
147A	39959	0
128	39961	1
129	39961	0
129	39961	0
129	39961	0
129	39961	0
131	39961	0
131	39961	0
131	39961	0
133	39961	0
133	39961	0
143	39961	0
153	39961	0
153	39961	0
153	39961	0
154	39961	1
157	39961	0
157	39961	0
157	39961	0
159	39961	0
159	39961	0
159	39961	0
159	39961	0
159	39961	0
159	39961	0
159	39961	0
159	39961	0
126	39962	0
127	39962	0
127	39962	0
127	39962	0
133	39962	0
133	39962	0
134	39962	0
135	39962	0
135	39962	0
135	39962	0
135	39962	0
143	39962	1
152	39962	0
156	39962	0
156	39962	0
157	39962	0
157	39962	0
157	39962	0
159	39962	0
159	39962	0
159	39962	0
159	39962	0
159	39962	0
159	39962	0
159	39962	0
159	39962	0
134	39963	3
135	39963	0
135	39963	1
135	39963	0
135	39963	0
128	39965	2
129	39965	0
129	39965	0
129	39965	0
129	39965	1
134	39965	0
135	39965	0
135	39965	0
135	39965	0
135	39965	0
152	39965	0
156	39965	0
156	39965	0
164	39965	0
164	39965	0
164	39965	0
164	39965	0
164	39965	0
164	39965	0
164	39965	1
164	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
147A	39965	0
