Rm	Date	part_0.5
156	39955	0
158	39955	311
129	39959	0
129	39959	0
135	39959	0
146	39959	14340
146	39959	3851
146	39959	809
147	39959	823
147	39959	308
147	39959	2435
147	39959	1522
156	39959	0
129	39961	0
133	39961	0
142	39961	1129
142	39961	249
143	39961	8140
144	39961	11408
144	39961	13266
144	39961	2658
146	39961	834
146	39961	2174
146	39961	381
153	39961	0
158	39961	856
133	39962	0
135	39962	0
142	39962	338
142	39962	130
143	39962	119
144	39962	243
144	39962	559
144	39962	418
146	39962	1136
146	39962	27
146	39962	55
147	39962	422
147	39962	269
156	39962	28
158	39962	826
135	39963	0
129	39965	162
135	39965	0
147	39965	1103
147	39965	0
147	39965	0
147	39965	0
147	39965	3432
147	39965	0
147	39965	1
156	39965	0
147	39966	3128
147	39966	3
147	39966	5
147	39966	649
147	39966	0
147	39966	59
129	39967	0
133	39967	0
146	39967	2738
146	39967	1420
146	39967	868
146	39967	2418
146	39967	1542
146	39967	348
153	39967	0
133	39968	0
142	39968	510
142	39968	744
143	39968	53677
144	39968	33
144	39968	170
144	39968	115
146	39968	2021
146	39968	207
146	39968	176
146	39968	234
146	39968	343
146	39968	32
147	39968	3334
147	39968	0
147	39968	0
147	39968	6212
147	39968	0
147	39968	0
153	39968	0
158	39968	630
135	39969	0
146	39969	1503
146	39969	1501
146	39969	684
146	39969	1948
146	39969	743
146	39969	279
147	39969	2183
147	39969	662
147	39969	2681
147	39969	788
156	39969	3
158	39969	5290
142	39970	222
142	39970	1178
143	39970	2030
144	39970	230
144	39970	61
144	39970	2006
135	39972	3
146	39972	1486
146	39972	1850
146	39972	149
146	39972	889
146	39972	202
146	39972	672
147	39972	1835
147	39972	0
147	39972	37
147	39972	0
147	39972	1200
147	39972	3
147	39972	0
147	39972	0
147	39972	1206
147	39972	39
147	39972	5
147	39972	1085
147	39972	10
147	39972	0
156	39972	1
158	39972	1766
129	39973	0
135	39973	0
146	39973	4199
146	39973	10022
146	39973	1056
146	39973	2875
146	39973	688
146	39973	200
147	39973	4826
147	39973	6180
156	39973	0
142	39974	312
142	39974	197
143	39974	1058
144	39974	995
144	39974	1917
144	39974	352
129	39975	0
133	39975	0
142	39975	7
142	39975	211
142	39975	153
142	39975	142
142	39975	204
142	39975	311
142	39975	2890
142	39975	467
142	39975	388
142	39975	689
153	39975	0
133	39976	0
146	39976	1313
146	39976	1137
146	39976	373
146	39976	197
146	39976	16
146	39976	844
147	39976	2749
147	39976	861
147	39976	3171
147	39976	1448
147	39976	1544
147	39976	2232
147	39976	7204
147	39976	7628
153	39976	0
158	39976	17
143	39977	2003
144	39977	832
144	39977	412
144	39977	268
133	39979	0
146	39979	808
146	39979	1181
146	39979	79
146	39979	2164
146	39979	134
146	39979	148
147	39979	1489
147	39979	1686
147	39979	1035
147	39979	3149
153	39979	0
158	39979	1233
135	39980	0
144	39980	1108
144	39980	948
144	39980	784
146	39980	945
146	39980	1042
146	39980	235
146	39980	1083
146	39980	1150
146	39980	165
147	39980	2317
147	39980	1408
147	39980	39
147	39980	42
158	39980	684
129	39981	0
135	39981	0
143	39981	8105
146	39981	6283
146	39981	488
146	39981	1615
146	39981	1575
146	39981	196
146	39981	321
147	39981	6106
147	39981	536
147	39981	1492
147	39981	1491
156	39981	0
146	39982	1919
146	39982	635
146	39982	439
146	39982	158
146	39982	821
146	39982	149
147	39982	3157
147	39982	30
147	39982	0
147	39982	16533
147	39982	5
147	39982	24
147	39982	0
147	39982	1359
147	39982	1147
147	39982	2529
147	39982	1980
156	39982	6
129	39983	0
133	39983	0
147	39983	8286
147	39983	1880
147	39983	727
147	39983	4762
153	39983	0
142	39984	130
142	39984	187
143	39984	829
144	39984	4343
144	39984	8580
144	39984	1454
129	39986	0
129	39986	0
133	39986	0
133	39986	0
142	39986	2258
142	39986	107
143	39986	3066
146	39986	216
146	39986	305
146	39986	69
146	39986	405
146	39986	123
146	39986	94
147	39986	1933
147	39986	1030
147	39986	458
147	39986	2692
153	39986	1
153	39986	1
133	39987	0
144	39987	761
144	39987	4156
144	39987	1118
147	39987	1233
147	39987	290
147	39987	108
147	39987	121
147	39987	3081
147	39987	1401
147	39987	2183
147	39987	1278
153	39987	1
158	39987	2382
135	39988	0
147	39988	5079
147	39988	2065
147	39988	1378
147	39988	2996
156	39988	0
129	39989	0
135	39989	0
143	39989	5367
144	39989	5889
144	39989	6657
144	39989	3685
146	39989	2800
146	39989	1271
146	39989	322
146	39989	1536
146	39989	419
146	39989	3796
146	39989	771
146	39989	865
146	39989	200
156	39989	0
158	39989	0
142	39990	45
142	39990	345
146	39990	1260
146	39990	3376
146	39990	856
147	39990	1881
147	39990	1051
147	39990	0
147	39990	0
147	39990	8087
147	39990	4067
147	39990	0
147	39990	1
146	39993	684
146	39993	189
146	39993	2357
146	39993	878
146	39993	449
146	39993	86
146	39993	298
146	39993	529
146	39993	24
146	39993	581
146	39993	799
146	39993	229
147	39993	5973
147	39993	4974
147	39993	569
147	39993	434
133	39994	0
146	39994	17379
146	39994	10795
146	39994	2821
146	39994	1395
146	39994	585
146	39994	512
129	39995	0
133	39995	3
135	39995	2
142	39995	109
142	39995	62
143	39995	4729
144	39995	1407
144	39995	2640
144	39995	810
147	39995	897
147	39995	192
153	39995	2
156	39995	5
158	39995	79
129	39996	1
142	39996	33
142	39996	2
143	39996	305
144	39996	461
144	39996	468
144	39996	171
156	39996	6
158	39996	106
147	40000	3216
147	40000	2144
147	40000	531
147	40000	335
129	40001	0
133	40001	0
146	40001	7284
146	40001	5278
146	40001	536
146	40001	985
146	40001	4225
146	40001	25
153	40001	19
133	40002	0
142	40002	3
142	40002	7
143	40002	141
144	40002	166
144	40002	330
144	40002	138
153	40002	0
158	40002	188
146	40003	1630
146	40003	677
146	40003	88
146	40003	609
146	40003	2644
146	40003	62
156	40003	0
158	40003	1030
129	40004	1
133	40004	0
135	40004	0
142	40004	143
142	40004	286
143	40004	2720
144	40004	840
144	40004	1647
144	40004	1125
147	40004	917
147	40004	786
156	40004	7
129	40007	1
135	40007	0
147	40007	917
147	40007	3177
147	40007	4105
147	40007	2744
156	40007	1
142	40008	286
142	40008	321
142	40008	436
142	40008	499
129	40009	0
133	40009	0
153	40009	2
143	40010	3152
146	40010	7211
146	40010	3263
146	40010	1831
158	40010	763
135	40011	0
156	40011	0
158	40011	186
142	40012	399
142	40012	229
143	40012	1270
144	40012	958
144	40012	2081
144	40012	585
146	40012	2775
146	40012	1127
146	40012	339
135	40014	0
156	40014	0
129	40016	9
142	40016	848
142	40016	1141
142	40016	463
142	40016	517
133	40017	0
153	40017	0
133	40018	0
142	40018	70
142	40018	348
143	40018	1095
144	40018	387
144	40018	126
144	40018	7555
146	40018	322
146	40018	61
146	40018	132
147	40018	368
147	40018	1196
153	40018	17
158	40018	208
144	40019	107
144	40019	646
144	40019	625
146	40019	185
146	40019	16
146	40019	22
147	40019	1223
147	40019	1141
129	40021	1
135	40021	0
147	40021	1018
147	40021	961
147	40021	1869
147	40021	1413
156	40021	5
135	40022	0
142	40022	1169
142	40022	2220
142	40022	479
142	40022	828
143	40022	775
144	40022	1775
144	40022	3574
144	40022	2432
146	40022	4555
146	40022	3030
146	40022	248
156	40022	1
158	40022	3236
133	40023	0
153	40023	0
129	40024	0
142	40024	1037
142	40024	1344
142	40024	185
142	40024	459
143	40024	1858
144	40024	2410
144	40024	13436
144	40024	7502
147	40024	2106
147	40024	2699
147	40024	3157
147	40024	4078
133	40025	0
153	40025	0
133	40028	0
142	40028	395
142	40028	822
143	40028	2001
144	40028	1715
144	40028	2131
144	40028	1282
153	40028	2
158	40028	196
129	40029	0
135	40029	0
146	40029	2231
146	40029	712
146	40029	133
147	40029	2219
147	40029	2525
147	40029	1774
147	40029	6118
156	40029	4
135	40030	1
142	40030	192
142	40030	1315
143	40030	1640
144	40030	4902
144	40030	6412
144	40030	5483
146	40030	732
146	40030	116
146	40030	21
146	40030	1604
146	40030	2495
146	40030	137
156	40030	5
158	40030	61
129	40031	0
133	40032	0
153	40032	0
142	40035	41
142	40035	193
143	40035	37197
144	40035	765
144	40035	963
144	40035	390
146	40035	676
146	40035	1503
146	40035	186
146	40035	571
146	40035	317
146	40035	520
142	40037	5
142	40037	14
143	40037	833
144	40037	130
144	40037	396
144	40037	94
146	40037	373
146	40037	950
146	40037	26
146	40037	182
146	40037	187
146	40037	24
135	40038	0
146	40038	1914
146	40038	1385
146	40038	147
146	40038	2113
146	40038	585
146	40038	238
156	40038	0
158	40038	2752
147	40039	2224
147	40039	1036
147	40039	544
147	40039	156
147	40039	263
147	40039	135
156	40039	3
129	40042	0
146	40042	746
146	40042	254
146	40042	172
146	40042	462
146	40042	20
146	40042	32
133	40043	0
146	40043	479
146	40043	188
146	40043	290
146	40043	322
146	40043	202
146	40043	96
153	40043	0
133	40044	0
142	40044	9
142	40044	10
143	40044	689
144	40044	240
144	40044	218
144	40044	326
146	40044	836
146	40044	1121
146	40044	2626
146	40044	155
146	40044	157
146	40044	170
153	40044	0
158	40044	783
129	40045	0
135	40045	1
147	40045	1976
147	40045	593
147	40045	1517
147	40045	540
156	40045	0
135	40046	0
