Rm	Date	Read1	Read2	Read3	Mean
126	06/30/09	163	142	107	137
127	06/30/09	38	727	119	295
127	06/30/09	24	23	11	19
127	06/30/09	19	16	356	130
127	06/30/09	58	18	17	31
127	06/30/09	46	50	72	56
127	06/30/09	101	92	98	97
127	06/30/09	12	11	41	21
127	06/30/09	15	9	7	10
127	06/30/09	77	54	52	61
131	06/30/09	18	2	5	8
131	06/30/09	26	22	27	25
131	06/30/09	30	12	4	15
131	06/30/09	148	59	22	76
131	06/30/09	13	56	38	36
131	06/30/09	4	1	0	2
132	06/30/09	571	484	290	448
132	06/30/09	30	26	27	28
133	06/30/09	11	10	6	9
133	06/30/09	20	13	8	14
133	06/30/09	4	10	1	5
126	07/01/09	182	119	84	128
127	07/01/09	68	5	5	26
127	07/01/09	145	51	14	70
127	07/01/09	0	4	0	1
128	07/01/09	68	76	22	55
129	07/01/09	111	199	112	141
129	07/01/09	45	64	40	50
129	07/01/09	17	43	37	32
132	07/01/09	131	495	394	340
133	07/01/09	36	58	40	45
133	07/01/09	166	103	85	118
133	07/01/09	59	45	48	51
134	07/01/09	67	36	13	39
135	07/01/09	27	10	34	24
135	07/01/09	7	5	5	6
135	07/01/09	4	10	4	6
143	07/01/09	50	20	22	31
145	07/01/09	356	120	40	172
152	07/01/09	201	138	315	218
153	07/01/09	36	58	40	45
153	07/01/09	895	834	908	879
153	07/01/09	59	45	48	51
154	07/01/09	179	89	59	109
156	07/01/09	0	14	2	5
156	07/01/09	6	1	6	4
157	07/01/09	103	18	7	43
159	07/01/09	0	2	0	1
159	07/01/09	8	22	21	17
128	07/02/09	135	82	33	83
129	07/02/09	45	24	15	28
129	07/02/09	307	127	53	162
129	07/02/09	55	22	20	32
143	07/02/09	135	5	2	47
145	07/02/09	33	25	4	21
152	07/02/09	200	44	35	93
156	07/02/09	6	8	0	5
156	07/02/09	0	0	0	0
157	07/02/09	96	51	21	56
159	07/02/09	1	0	0	0
159	07/02/09	5	1	1	2
147A	07/06/09	79	108	116	101
147A	07/06/09	67	26	26	40
164T	07/06/09	0	0	0	0
164T	07/06/09	0	0	0	0
128	07/07/09	330	397	256	328
129	07/07/09	4	8	16	9
129	07/07/09	2	5	5	4
129	07/07/09	13	8	1	7
131	07/07/09	215	44	32	97
131	07/07/09	127	670	378	392
131	07/07/09	32	30	45	36
132	7/7/2009	13	39	14	22
133	07/07/09	95	146	218	153
133	07/07/09	87	34	37	53
133	07/07/09	200	199	341	247
153	07/07/09	156	129	223	169
153	07/07/09	215	151	96	154
153	07/07/09	132	112	78	107
154	07/07/09	54	28	31	38
147A	07/07/09	164	95	32	97
147A	07/07/09	487	193	97	259
164T	07/07/09	0	0	0	0
164T	07/07/09	0	1	6	2
126	07/08/09	212	347	240	266
127	07/08/09	3	1	0	1
127	07/08/09	5	6	2	4
127	07/08/09	21	49	9	26
132	07/08/09	130	311	185	209
133	07/08/09	45	7	107	53
133	07/08/09	19	13	39	24
133	07/08/09	54	10	64	43
143	07/08/09	1	0	0	0
145	07/08/09	73	30	13	39
153	07/08/09	968	787	705	820
153	07/08/09	1406	1294	1119	1273
153	07/08/09	1189	2893	2822	2301
154	07/08/09	1262	868	856	995
157	07/08/09	70	19	5	31
159	07/08/09	9	2	5	5
159	07/08/09	11	0	6	6
126	07/09/09	63	33	60	52
127	07/09/09	81	13	17	37
127	07/09/09	24	7	20	17
127	07/09/09	12	8	2	7
131	07/09/09	182	75	51	103
131	07/09/09	173	12	23	69
131	07/09/09	164	97	28	96
145	07/09/09	78	27	18	41
152	07/09/09	434	704	1156	765
156	07/09/09	41	24	38	34
156	07/09/09	132	56	38	75
157	07/09/09	7	6	4	6
159	07/09/09	5	1	0	2
159	07/09/09	1	1	0	1
